[2.3s-71.1s] 一世多 一世多红旋
[71.1s-80.1s] 反正哈 大音线跟我们又有什么关系
[81.6s-83.7s] 大音线跟我们又有什么关系
[175.5s-177.2s] OK 那么
[179.9s-180.7s] 来吧
[181.5s-183.7s] 跟我们又有什么关系呢
[185.3s-186.1s] 是不是
[186.5s-189.3s] 跟我们又有什么关系呢
[190.1s-193.3s] 我们的票 今天还是赚
[194.5s-197.5s] 我们的票 今天还是赚的
[200.8s-202.0s] 现在你们能够理解
[202.0s-205.2s] 为什么要在这个阶段买点补涨机器人了
[207.6s-209.1s] 现在你们能够理解
[209.4s-213.2s] 为什么我们要配置两层仓位的机器人了
[215.6s-217.8s] 这不就是今天用的吗
[219.4s-220.8s] 今天是怎么赚钱的
[221.4s-223.0s] 两层仓位照义
[223.0s-225.0s] 两层仓位三花你今天不赚钱
[225.5s-227.0s] 哪怕你三层仓位照义
[227.0s-229.0s] 三层仓位三花你今天不赚钱
[230.6s-231.8s] 你今天还不挣钱
[233.0s-234.2s] 今天指数暴跌
[234.9s-237.0s] 你这两个票怎么不挣钱
[237.0s-239.0s] 一个4.5 一个2.95还不挣钱
[239.0s-240.4s] 你买的机器人暴跌
[244.0s-245.4s] 你买的机器人暴跌
[245.4s-246.7s] 你跟我说有什么用
[249.6s-251.0s] 你买的机器人暴跌
[252.5s-253.4s] 笑死了
[255.7s-257.9s] 这个话其实是不是昨天有聊过的
[259.0s-261.1s] 详古能力还是很重要的
[264.9s-265.8s] 笑死我
[270.7s-272.6s] 详古能力还是很重要的
[273.9s-275.7s] 自己选的票真不行
[277.4s-279.4s] 哎这个东西怎么说呢
[280.2s-282.6s] 我我跟大家讲过的就是
[283.3s-285.8s] 在普长的行情里面
[286.3s-288.8s] 其实详古能力没那么重要
[288.8s-289.7s] 为什么呢
[289.8s-291.4s] 因为只要方向对了
[291.8s-293.8s] 其实所有的个股都涨
[294.6s-297.3s] 那么永远有一句话叫做退潮了
[297.3s-298.9s] 才知道谁在挪勇
[299.5s-303.0s] 所以一定是乱世英雄乱世英雄
[303.0s-304.9s] 只有在行情不好的时候
[305.3s-308.3s] 才能看到交易员之间的差距
[309.9s-311.1s] 能理解吗
[312.0s-313.6s] 所以这几天很多人
[313.6s-315.6s] 我已经收到太多人跟我说了
[315.6s-316.8s] 老大你是骗子
[317.7s-319.8s] 说好的选股大家水平都差不多
[319.9s-321.3s] 昨天不是跟你们分享过
[322.3s-324.0s] 应该是个女粉的案例
[325.4s-327.1s] 应该是个女粉给我发的
[327.2s-328.8s] 昨天不是跟你们分享过吗
[329.6s-330.3s] 就是
[331.3s-332.6s] 哎这个东西就是
[333.1s-335.0s] 你越到行情差的时候
[335.2s-336.5s] 选股当然都重要
[336.5s-339.1s] 因为你只有这么
[339.2s-340.3s] 且少数生
[340.3s-342.0s] 且少部分的个股是涨的
[342.0s-343.4s] 那你说选股能力重要
[344.4s-345.0s] 对不对
[345.2s-346.4s] 就像我随便昨天
[346.4s-347.2s] 随便点评了
[347.2s-347.9s] 跟你们说的
[348.0s-349.2s] 志愿机器人里面
[349.2s-350.9s] 最强的是志愿机器人
[351.1s-352.5s] 志愿机器人里面
[352.7s-355.4s] 最核心的破历史新高的是尚伟新财
[356.2s-358.0s] 今天尚伟新财是不是长得很好
[358.6s-360.1s] 但我们不会去买
[361.4s-363.4s] 这审美一定是在的
[364.0s-365.2s] 能懂这个逻辑吗
[365.2s-365.9s] 我没有说
[366.2s-368.5s] 没有跟大家说过让大家去买尚伟新财
[368.5s-370.3s] 我们一直都是三花之控
[370.8s-372.3s] 因为我觉得这种票是
[372.3s-374.9s] 无论是逻辑还是产业结构
[375.0s-376.5s] 还是市场的审美
[376.5s-377.7s] 大资金的审美
[378.1s-379.5s] 都是比较稳健的
[380.1s-382.0s] 但是你看昨天跟你们聊到的时候
[382.0s-383.9s] 所有的机器人各股我都不点名
[384.9s-385.4s] 对吧
[385.4s-387.1s] 就跟你们讲过机器人里面
[387.1s-388.1s] 爆发力最强的
[388.1s-390.3s] 先有一个单点撲破的
[390.5s-392.0s] 是志愿机器人
[392.5s-394.2s] 志愿机器人里面
[394.6s-396.2s] 志愿机器人里面
[397.0s-397.6s] 对吧
[397.8s-400.7s] 做的最好的最核心的标的
[400.7s-401.9s] 是尚伟新财
[402.2s-403.5s] 这叫审美
[405.2s-405.9s] 能懂吗
[405.9s-407.1s] 这叫审美
[408.1s-408.9s] 理解吗
[409.5s-411.9s] 所以你越在行情不好的时候
[411.9s-413.8s] 交易能力上面的差距
[414.5s-415.7s] 他一定会更加险解
[415.7s-417.7s] 行情好的时候反正都是股神
[418.7s-420.3s] 行情好的时候都是股神
[421.7s-423.3s] 这个就是这样子的
[424.1s-425.3s] 这个就是这样子的
[425.5s-426.7s] 然后有很多人说
[427.0s-427.9s] 很多人说
[428.7s-429.9s] 很多人说
[430.5s-432.7s] 阿务自己选的机器人的票不好
[433.7s-434.9s] 这个东西没有办法
[434.9s-436.1s] 方向对不对
[436.3s-436.9s] 是不是对的
[436.9s-438.3s] 绿地鞋波长得更好
[439.0s-440.1s] 绿地鞋波长得更好
[441.9s-443.8s] 就是你们去思考一件事情
[444.4s-445.8s] 就是方向对不对
[445.8s-446.9s] 今天大跌
[446.9s-449.1s] 我们这几天踩的方向
[449.4s-450.4s] 牛不牛逼
[451.9s-453.6s] 牛不牛逼踩的方向
[454.1s-454.8s] 对吧
[455.0s-456.3s] 跟你们讲过的
[456.9s-459.2s] 长薪科技5万亿估值
[459.7s-460.9s] 长薪科技5万亿估值
[460.9s-462.8s] 这几天就是走的比较强悍的
[463.0s-465.0s] 机器人作为所有的板块里面
[465.0s-466.6s] 唯一一个能够捂掌的
[466.7s-468.1s] 那就是机器人板块
[468.7s-469.3s] 对不对
[470.0s-470.6s] 对不对
[470.8s-472.5s] 然后我们选择了三花
[472.9s-474.9s] 两个标地平崩
[475.3s-477.2s] 昨天我们的照益涨停
[477.4s-479.4s] 今天照益被大盘拖累
[479.4s-480.2s] 接下来了
[481.1s-482.2s] 在科技股里面
[482.2s-483.0s] 你们没发现吗
[483.0s-483.7s] 照益创新
[483.7s-486.2s] 今天是算是绝度扛跌的
[488.0s-489.3s] 是不是绝度扛跌的
[490.0s-491.4s] 昨天三花没怎么长
[491.4s-492.6s] 调整了机器人
[492.8s-493.9s] 机器人板块是没调整
[493.9s-494.5s] 是上去了
[494.5s-495.6s] 支援机器人暴涨
[496.6s-499.3s] 今天三花就开始大涨
[499.3s-501.0s] 如果不是指数跳水
[501.0s-502.8s] 今天三花至少收七个点
[504.8s-505.8s] 这个叫做什么
[506.7s-508.2s] 在自己的理解力
[508.2s-509.6s] 在对市场的把握下面
[509.6s-510.7s] 管理好仓位
[511.0s-513.1s] 然后去把胜负交给市场
[513.8s-515.4s] 我们在干的就是这件事情
[515.4s-516.1s] 为什么
[516.1s-517.9s] 五阶段一定告诉大家
[517.9s-519.5s] 要在六层仓位以内
[519.7s-520.9s] 现在能理解了吗
[524.3s-525.5s] 现在能理解了吗
[526.3s-527.3s] 所有人
[527.8s-529.3s] 都把我直播间的话
[529.3s-531.4s] 当耳边疯你们懂吗
[533.5s-535.0s] 我就说一句
[535.3s-538.0s] 今天到今天这个节点上面
[538.1s-539.6s] 亏钱的人是活该
[540.3s-541.4s] 为什么是活该
[542.9s-543.9s] 昨天之前
[543.9s-546.1s] 我们的仓位是四层仓位
[546.6s-547.9s] 两个标的
[548.1s-548.7s] 评铺
[550.1s-550.7s] 是不是
[551.2s-552.1s] 赵毅跟三花
[552.1s-553.4s] 每个标的两层仓
[553.7s-555.3s] 直到前天晚上的直播
[555.3s-557.3s] 告诉大家可以加两层仓
[557.7s-558.7s] 无论你加
[559.0s-560.5s] 哪个方向都行
[560.6s-562.0s] 那有一些人聪明一点的人
[562.0s-563.1s] 赵毅买了一层
[563.1s-564.5s] 三花买了一层昨天
[564.8s-565.2s] 好
[565.2s-566.8s] 你六层仓位已经打满了
[566.9s-568.3s] 今天你哪来的仓位加仓
[569.7s-570.8s] 你哪来的仓位加仓
[573.9s-576.1s] 五阶段跟你们讲过是
[576.1s-579.0s] 科技里面的结构性行情
[581.2s-582.7s] 仓位不要超过六层
[582.7s-583.0s] 为什么
[583.0s-585.2s] 因为五阶段是非常难做的
[587.6s-590.0s] 五阶段是非常难做的
[594.8s-595.2s] 然后
[596.4s-597.9s] 今天跟我说亏马的人
[597.9s-599.5s] 我一个都不会同情的
[602.0s-604.4s] 以后出门不要说听过我的直播
[606.2s-607.1s] 好意思吗
[607.9s-608.9s] 就我问大家一句
[608.9s-610.1s] 今天亏钱的人
[611.0s-611.5s] 好意思吗
[611.5s-612.8s] 除了做各股模式的人
[612.8s-614.2s] 各股模式你前面转麻了
[615.2s-616.8s] 你也不用出来秀一下
[616.9s-617.8s] 今天回彻了一点
[617.8s-618.4s] 怎么了
[622.4s-624.1s] 我在在谈昨天的事情
[626.6s-628.6s] 我就问大家
[629.2s-630.3s] 我们直播间的人
[630.3s-632.0s] 我们直播间这么多人在
[632.1s-633.3s] 你说我们要去同情
[633.3s-634.5s] 今天亏钱的人吗
[639.0s-640.4s] 今天是我今天转得很不错
[640.4s-641.0s] 我也不敢说
[641.0s-641.4s] 对吧
[641.4s-643.1s] 你就闷心自问
[643.2s-644.7s] 每天在听直播的人
[645.4s-646.7s] 昨天在听直播的人
[648.2s-649.2s] 我们要去同情
[649.2s-650.2s] 今天爆亏的人吗
[652.9s-654.3s] 有什么好同情的
[659.2s-660.7s] 这都是你自己的选择
[660.7s-662.0s] 你选择相信自己
[662.0s-663.3s] 你选择什么都不听
[663.6s-665.1s] 你选择就是要这么干
[665.3s-666.8s] 你选择就是要赌博
[669.4s-670.6s] 怎么说怎么办
[672.0s-674.5s] 你都不如太阳眼镜的老婆
[675.2s-677.1s] 至少人家昨天还在桑花里面
[677.1s-678.4s] 被我骂一顿以后
[678.6s-679.7s] 今天这不反包了吗
[681.3s-683.1s] 都怪老大又让我赚钱
[684.1s-685.7s] 是不是现在我们
[685.8s-687.3s] 我们直播间有两个名人
[687.3s-688.5s] 太阳眼镜男
[688.8s-691.2s] 太阳眼镜女夫妻组合
[692.9s-694.6s] 你们都比不过她老婆
[695.9s-697.9s] 虽然她没有评仆也是不听话
[698.3s-700.8s] 但至少她还是在其中一个标志率上面
[701.7s-703.1s] 听话也是不听话的
[703.2s-704.9s] 说好的评仆照义一半
[705.1s-705.9s] 三话一判
[706.2s-707.5s] 听话是不听话的
