[9.5s-13.5s] 来,大家晚上好
[13.5s-133.2s] OK,那么
[133.2s-136.2s] 周五果然跟我们
[136.2s-139.2s] 以前你叫私,你叫我原因
[139.2s-142.2s] 我不挑你的理,现在你叫我什么叫私
[142.2s-147.2s] OK,那么
[147.2s-150.2s] 周五的盘面也是非常的惨
[150.2s-153.2s] 跟我们的预判是
[153.2s-157.2s] 这么说不过分吧,完全一模一样
[157.2s-160.2s] 所以我跟大家说过了
[160.2s-164.2s] 行情好能够找到精准的狙击点
[164.2s-166.2s] 这是一项非常重要的能力
[166.2s-169.2s] 能控制好回测
[169.2s-173.2s] 这是一项更重要的能力
[173.2s-176.2s] 对吧,这是一项更重要的能力
[176.2s-180.2s] 所以在关键节点选择的关键节点的策略
[180.2s-183.2s] 大家就能意识到
[184.2s-187.2s] 什么叫做无敌
[187.2s-190.2s] 实话实说,我觉得这一个阶段
[190.2s-192.2s] 确实真的判断还是非常的精准的
[192.2s-194.2s] 你们去想一个点
[194.2s-201.6s] 你们去看这个
[201.6s-217.8s] 这个分时,来看一下
[217.8s-222.5s] 对吧,我们是在
[222.5s-224.5s] 10点44分
[224.5s-227.5s] 那一天的10点44
[227.5s-228.5s] 差不多这个位置
[228.5s-232.3s] 我分享的这个
[233.3s-236.3s] 朋友圈,告诉大家这里要科技股
[236.3s-238.3s] 这次就是真的狼来了
[238.3s-241.3s] 那么你们会发现这个点结束了以后
[241.3s-243.3s] 再到这个点
[243.3s-245.3s] 其实你不要看这里尾盘有回拉
[245.3s-246.3s] 回拉跟科技股没关系
[246.3s-248.3s] 科技股的亏钱效应是在加大的
[248.3s-251.3s] 回拉的只是因为什么,机器人
[251.3s-258.3s] 只是因为机器人
[258.3s-277.7s] 能看到吗
[277.7s-279.7s] 所以你们再去想一下
[279.7s-281.7s] 判断关键节点的重要性
[281.7s-282.7s] 可以解答一个问题
[282.7s-284.7s] 我觉得这个问题
[284.7s-286.7s] 可能是很多人心中的
[286.7s-288.7s] 困惑
[288.7s-291.7s] 可能是很多人心中的困惑
[291.7s-293.7s] 来
[293.7s-295.7s] 在
[295.7s-298.7s] 周四的10点44分
[298.7s-300.7s] 我发了这个朋友圈
[300.7s-302.7s] 我说科技股这边是狼来了
[302.7s-305.7s] 理论上面这边就要大幅度的去检藏
[305.7s-306.7s] 去规避这个风险
[306.7s-307.7s] 因为在这个节点
[307.7s-309.7s] 我给大家定义了一句话叫做
[309.7s-311.7s] 从环境角度来说
[311.7s-313.7s] 我们叫做什么风险大于机会
[313.7s-315.7s] 因为判定出了
[315.7s-317.7s] 风险大于机会
[317.7s-319.7s] 所以就诞生了一个
[319.7s-321.7s] 对于指数
[321.7s-323.7s] 环境更高维度的一个卖点
[323.7s-325.7s] 这个卖点于
[325.7s-327.7s] 个股无关来
[327.7s-330.7s] 听懂这句话
[330.7s-332.7s] 理解这句话
[332.7s-334.7s] 感受这句话
[334.7s-336.7s] 这句话
[336.7s-339.7s] 值一千万
[339.7s-341.7s] 不是给你们开玩笑
[341.7s-344.7s] 很多人的认知
[344.7s-346.7s] 很多人的认知
[346.7s-348.7s] 他达不到这个层面
[348.7s-349.7s] 他听不懂
[349.7s-351.7s] 所以在周五的时候
[351.7s-353.7s] 有一些粉丝没有直接来问我
[353.7s-357.7s] 但是有问到一些克服一些问题
[357.7s-364.0s] 有问到克服一些问题
[364.0s-366.0s] 能明白吗
[366.0s-367.0s] 所以我要跟你们讲
[367.0s-368.0s] 首先你先理解这句话
[368.0s-369.0s] 对不对
[369.0s-371.0s] 在10点44分
[371.0s-373.0s] 产生的这个卖点
[373.0s-374.0s] 是我们对于
[374.0s-375.0s] 这轮环境
[375.0s-376.0s] 这轮行情
[376.0s-380.0s] 这轮节点的一个检测点
[380.0s-383.0s] 这是站在至高点山顶之上
[383.0s-385.0s] 去看待这件事情
[385.0s-386.0s] 好 接下来解答你们
[386.0s-387.0s] 第二个话题
[387.0s-388.0s] 有些人说了
[388.0s-391.0s] 小花花周五反抽了
[391.0s-393.0s] 然后我们
[393.0s-394.0s] 曾经买过的一个
[394.0s-396.0s] 标的多福多版了
[396.0s-398.0s] 等等
[398.0s-399.0s] 跟你屁关系
[399.0s-404.4s] 知道我为什么会说这句话吗
[404.4s-405.4s] 为什么会说这句话吗
[405.4s-406.4s] 为什么会说这句
[406.4s-408.4s] 跟你屁关系吗
[408.4s-410.4s] 第一
[410.4s-412.4s] 多福多反包也好
[412.4s-413.4s] 他反包的价位
[413.4s-414.4s] 还没有到我们离场点
[414.4s-416.4s] 我们先不去说这个事情
[416.4s-420.8s] 我们先不去说这个事情
[420.8s-421.8s] 对吧
[421.8s-422.8s] 多福多是谁选的
[422.8s-424.8s] 我选的
[424.8s-426.8s] 三花周五反包了
[426.8s-427.8s] 那个阴线
[427.8s-429.8s] 尾盘稍微毁露了一点
[429.8s-430.8s] 这个标记是谁选的
[430.8s-431.8s] 我选
[432.8s-434.8s] 是因为我选的标的牛逼
[434.8s-436.8s] 而不是说是在这个行情
[436.8s-438.8s] 你不用去检查
[438.8s-439.8s] 懂我的意思吗
[439.8s-441.8s] 就跟得名力一样的
[441.8s-445.8s] 我们能在周四的10点44分去离开他
[445.8s-446.8s] 在那一天
[446.8s-449.8s] 居然我们还是赚钱的
[449.8s-450.8s] 不是因为什么
[450.8s-451.8s] 是因为我们选的标的牛逼
[451.8s-453.8s] 是因为我选的标的牛逼
[453.8s-455.8s] 但是无论你选的标的牛不牛逼
[455.8s-457.8s] 科技股你去看一下
[457.8s-459.8s] 你们就只提这个标
[459.8s-465.7s] 海光跌了多少了
[465.7s-466.7s] 你们还没懂
[466.7s-467.7s] 那我问你一句
[467.7s-469.7s] 如果你是觉得这样子
[469.7s-471.7s] 用后视镜去看
[471.7s-472.7s] 就刚好你手
[472.7s-473.7s] 刚好你手上看到的
[473.7s-475.7s] 或者你手上留着的标记
[475.7s-476.7s] 涨了
[476.7s-478.7s] 你就说这个不是卖点
[478.7s-479.7s] 但你不去看
[479.7s-481.7s] 其他的标记亏的西里花了
[481.7s-482.7s] 就是刚好你
[482.7s-483.7s] 刚好你拥有的标记涨了
[483.7s-485.7s] 你就觉得不是卖点
[485.7s-486.7s] 如果你是抱有这种心态的
[486.7s-487.7s] 那好很简单
[487.7s-491.7s] 那欢迎你随时来杭州
[491.7s-492.7s] 这两天
[492.7s-494.7s] 这两天市场的胜率
[494.7s-496.7s] 我们摆出来来
[496.7s-498.7s] 这两天市场的
[498.7s-500.7s] 1800只
[500.7s-502.7s] 昨天差不多是
[502.7s-505.7s] 差不多是1200只
[505.7s-507.7s] 加起来
[507.7s-509.7s] 胜率不到30%
[509.7s-510.7s] 没有吧
[510.7s-512.7s] 1800除以5000
[512.7s-513.7s] 36%
[513.7s-514.7s] 昨天是不到30%
[514.7s-515.7s] 好那很简单
[515.7s-517.7s] 如果你觉得你这样子
[517.7s-519.7s] 用后视镜的方式是对的
[519.7s-520.7s] 那么很简单
[520.7s-521.7s] 你到行之后来跟我摇骰子
[521.7s-523.7s] 摇一到二算你赢
[523.7s-525.7s] 摇三四五六
[525.7s-527.7s] 上我赢
[527.7s-529.7s] 那你随时来跟我摇骰子
[529.7s-531.7s] 无论玩多大的我都给你玩
[531.7s-538.5s] 我用这个案例你们就懂了
[538.5s-539.5s] 你们要去想想看
[539.5s-542.5s] 如果不是因为我的审美高
[542.5s-544.5s] 像其他人买的那些科技股
[544.5s-546.5s] 这几天要亏多少钱
[546.5s-547.5s] 想过这个问题吗
[547.5s-548.5s] 大部分个股
[548.5s-549.5s] 应该都跟海光一样吧
[549.5s-551.5s] 两天跌了十几个电
[551.5s-554.5s] 不不不
[554.5s-556.5s] 我再跟你们讲一个非常客观的事实
[556.5s-559.5s] 很多人的理念有问题
[559.5s-561.5s] 我不知道你们能不能听懂
[561.5s-565.5s] 我已经用好几个层面去解释了
[565.5s-569.5s] 用好几个层面去给你们去解释了
[569.5s-572.5s] 如果交易是一件你通过后视去
[572.5s-573.5s] 后视镜去做决策
[573.5s-576.5s] 然后拿着解个别的案例
[576.5s-577.5s] 去说设的
[577.5s-579.5s] 那你这辈子都不用做交易了
[579.5s-580.5s] 因为我跟你们讲过了
[580.5s-581.5s] 无论再烂的行情
[581.5s-583.5s] 我从来没见过股市
[583.5s-584.5s] 有那么一天
[584.5s-586.5s] 一个涨停股都没有
[586.5s-588.5s] 没见过
[588.5s-590.5s] 能懂这个逻辑吗
[590.5s-592.5s] 我从来没见过股市
[592.5s-593.5s] 有那么一天
[593.5s-594.5s] 哪怕跌的有再惨
[594.5s-595.5s] 整个市场
[595.5s-596.5s] 一个涨停股都没有
[596.5s-597.5s] 我没见过
[597.5s-601.9s] 所以不能因为说
[601.9s-602.9s] 我选的标定牛逼
[602.9s-606.9s] 这两天周五反弹了
[606.9s-607.9s] 你就觉得是
[607.9s-608.9s] 那我早知道周四不卖
[608.9s-609.9s] 我周五在卖了
[609.9s-610.9s] 那你想
[610.9s-612.9s] 如果抱有你这种心态的人
[612.9s-613.9s] 那海光怎么办
[613.9s-616.9s] 有一批人拿着海光的人
[616.9s-617.9s] 要不周四我不卖了
[617.9s-618.9s] 我周五在看
[618.9s-619.9s] 周五又跌了
[619.9s-622.9s] 他懵懂逻辑了吗
[622.9s-624.9s] 所以说你要去看大部分人
[624.9s-625.9s] 大部分人这两天
[625.9s-626.9s] 得回撤多少
[626.9s-627.9s] 科技股我少说一点
[627.9s-629.9s] 如果一点仓位不减的人
[629.9s-631.9s] 很多人估计都要回撤
[631.9s-632.9s] 8到15个点
[632.9s-639.8s] 这样子讲
[639.8s-640.8s] 你们就能明白了
[640.8s-641.8s] 所以我从来
[641.8s-644.8s] 不是在为任何一个东西去说
[644.8s-645.8s] 因为
[645.8s-646.8s] 实话实说
[646.8s-647.8s] 对于这一轮行情的
[647.8s-648.8s] 阶段性见顶
[648.8s-649.8s] 我的判定
[649.8s-652.8s] 我只能又给自己打一个100分
[652.8s-654.8s] 不知道你们给我打几分
[654.8s-655.8s] 反正我现在是觉得
[655.8s-656.8s] 真的吗
[656.8s-657.8s] 牛逼
[657.8s-658.8s] 你们还记得我
[658.8s-659.8s] 那田哥你们讲吗
[659.8s-662.8s] 我跟你们说过一句话
[662.8s-665.8s] 我跟你们说过一句话
[665.8s-667.8s] 在这个节点
[667.8s-668.8s] 来
[668.8s-677.0s] 我先给你们放传
[677.0s-678.0s] 我说我最烦的
[678.0s-679.0s] 就是这个这种点
[679.0s-681.0s] 看到没
[681.0s-683.0s] 这一波拉下来了
[683.0s-684.0s] 又有人去干
[684.0s-686.4s] 周四晚上的直播
[686.4s-687.4s] 我有点记不清楚了
[687.4s-688.4s] 我是思于里面
[688.4s-689.4s] 这里跟你们讲的
[689.4s-690.4s] 还是公寓的时候
[690.4s-692.4s] 我跟那些公寓的粉讲的
[692.4s-693.4s] 我说最烦这帮
[693.4s-696.8s] 你们知道这帮人是谁吗
[696.8s-698.8s] 你们知道这里拉起来的人是谁吗
[698.8s-699.8s] 同样的案例
[699.8s-700.8s] 同样的案例
[700.8s-701.8s] 同样的这一天
[701.8s-703.8s] 再来看今天
[706.6s-709.6s] 你们知道这些人都是谁吗
[709.6s-711.6s] 为什么指数跌下来
[711.6s-712.6s] 往往都会有反抽
[712.6s-714.6s] 然后尾盘又是爆杀
[714.6s-716.6s] 周五其实差不多也是这种情况
[716.6s-717.6s] 跌下来
[717.6s-719.6s] 然后尾盘又是爆杀
[719.6s-720.6s] 你们知道为什么吗
[720.6s-721.6s] 这些人是谁
[721.6s-723.6s] 到底谁在抄底
[723.6s-724.6s] 我告诉你们
[724.6s-726.6s] 就是那帮前面踏空的人
[726.6s-728.6s] 没赚到钱的人
[728.6s-730.6s] 对很明显的
[730.6s-732.6s] 你用人性的角度去理解这件事情
[732.6s-734.6s] 比如说像我们直播间
[734.6s-736.6s] 我们一路都是重仓满仓
[736.6s-737.6s] 因为一直都是
[737.6s-739.6s] 没有到我们的卖点对不对
[739.6s-743.6s] 直到昨天周四的那跟大阴线出来
[743.6s-745.6s] 直到周四的那跟大阴线出来
[745.6s-747.6s] 才到我们的卖点对不对
[747.6s-749.6s] 因为一直都没有到我们的卖点
[749.6s-751.6s] 我们这帮人是你满脑子
[751.6s-752.6s] 哪里在想的白股票
[752.6s-753.6s] 我实话实说
[753.6s-754.6s] 我们直播间满脑子
[754.6s-756.6s] 不是从这一天开始
[756.6s-757.6s] 从上上个礼拜开始
[757.6s-759.6s] 你满脑子都在想的赶紧卖
[759.6s-760.6s] 你懂吗
[760.6s-762.6s] 因为你满仓仓仓的人
[762.6s-764.6s] 总想着落带为安
[764.6s-767.6s] 所以去搞这种
[767.6s-768.6s] 勾起来
[768.6s-769.6s] 然后最后又被套牢
[769.6s-770.6s] 勾起来
[770.6s-772.6s] 都是前面看到这一波行情
[772.6s-773.6s] 等啊等
[773.6s-774.6s] 长了这么一大波
[774.6s-775.6s] 自己没赚到钱
[775.6s-777.6s] 或者上过车马就卖飞了
[777.6s-778.6s] 踏空踏空踏空
[779.6s-780.6s] 做使他难受
[780.6s-782.6s] 他在等一个回调的停
[782.6s-783.6s] 终于等到了一根阴性
[783.6s-784.6s] 他激动的要死
[784.6s-785.6s] 冲进去了
[785.6s-786.6s] 然后被套了
[786.6s-787.6s] 然后周五又冲进科技股
[787.6s-788.6s] 又被套了
[788.6s-791.4s] 想一下
[791.4s-796.5s] 是不是以前的你自己
[796.5s-797.5s] 想不下我刚才说的
[797.5s-799.5s] 这帮人是不是以前的你
[799.5s-800.5s] 主声浪的行情的时候
[800.5s-801.5s] 默默积极
[801.5s-802.5s] 卫卫说说
[802.5s-803.5s] 重操
[804.5s-805.5s] 不敢上
[805.5s-806.5s] 上点操卫
[806.5s-807.5s] 转了两三个点
[807.5s-808.5s] 五六个点
[808.5s-809.5s] 老早就跑了
[809.5s-810.5s] 跑了又在等回调
[810.5s-811.5s] 等啊等等啊等
[811.5s-812.5s] 等到行情快结束了
[812.5s-813.5s] 回调了
[813.5s-814.5s] 你也终于被套牢了
[814.5s-815.5s] 套牢了以后
[815.5s-816.5s] 然后自我安慰说
[816.5s-817.5s] 行情会反弹的
[817.5s-818.5s] 亏了就加增加加加加
[818.5s-819.5s] 终于被升套了
[819.5s-821.5s] 然后不知道他们套了多久
[823.5s-824.5s] 你想想看
[824.5s-825.5s] 是不是以前的你
[826.5s-827.5s] 是不是以前的你
[828.5s-829.5s] 你说我们这个阶段的人
[829.5s-830.5s] 我们哪有空去想
[830.5s-831.5s] 什么时候去买
[831.5s-832.5s] 我们满脑子在想
[832.5s-833.5s] 是不是什么时候是卖点
[833.5s-834.5s] 什么时候是卖点
[834.5s-835.5s] 是不是要卖的
[835.5s-836.5s] 是不是
[836.5s-837.5s] 你们想前面一根小音线的时候
[837.5s-838.5s] 很多人都在想
[838.5s-839.5s] 我是不是要卖了
[839.5s-840.5s] 很多人也压不住
[840.5s-841.5s] 终于要卖了
[842.5s-843.5s] 是不是
[843.5s-844.5s] 是不是我说前面
[844.5s-845.5s] 这根线的时候
